time_s,type,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,qx,qy,qz,qr,hx_deg,hy_deg,hz_deg,ex_deg,ey_deg,ez_deg
2.1002829097222224,lowG,0.9002198242187499,9.380482104492186,-2.6767174560546874,-1.524390243902439,0.12195121951219513,0.06097560975609757,9.45,-55.949999999999996,-33.3,0.34372086450457573,-0.720691385678947,-0.5153689226135612,0.31121498600890607,51.986410843581226,-109.00169974068254,-77.94749552262266,106.04017584568702,-5.410675223677233,-124.92847659908867
2.1047049166666665,lowG,0.86191259765625,9.524134204101562,-2.5522189697265625,-1.3414634146341464,0.30487804878048785,0.30487804878048785,9.45,-55.949999999999996,-33.3,0.3437000997364521,-0.7206411324441433,-0.5154467895627022,0.31122533123169627,51.98300442668927,-108.99354177267708,-77.95887392557238,106.02971882606774,-5.407884664514459,-124.92939184443745
2.109126923611111,lowG,0.93852705078125,9.394847314453125,-2.5617957763671875,-1.829268292682927,0.6097560975609757,0.06097560975609757,8.25,-54.75,-33.0,0.34368144907057285,-0.7205823305994272,-0.515523106791079,0.3112556710441157,51.97940405880424,-108.98301383782645,-77.96924722591318,106.01799139126283,-5.406379034689294,-124.92844927833198
2.1135489305555555,lowG,0.8906430175781249,9.528922607421874,-2.5617957763671875,-1.402439024390244,0.1829268292682927,0.426829268292683,8.25,-54.75,-33.0,0.3436549939215183,-0.7205349309369922,-0.5155976172536612,0.3112711929086472,51.975004130301585,-108.97500887191902,-77.9799181165186,106.00758218296772,-5.404592513334513,-124.92952844822085
2.1179709375,lowG,0.9528922607421875,9.509768994140625,-2.6384102294921874,-1.8902439024390245,0.12195121951219513,0.426829268292683,8.25,-54.75,-33.0,0.34361917339265347,-0.7204898493364453,-0.5156707251444459,0.31129398309170264,51.969001139247716,-108.96696313914907,-77.99009653016458,105.99684512559246,-5.40410458169568,-124.93094912756821
2.1223929444444445,lowG,0.928950244140625,9.490615380859374,-2.528276953125,-2.073170731707317,0.5487804878048781,1.0975609756097562,8.4,-54.9,-32.85,0.34356887079775333,-0.720433265902102,-0.5157496994361281,0.311349623304624,51.95996437226386,-108.95540897505462,-77.99989546632187,105.98301399252318,-5.406555338947245,-124.93109939172994
2.131227770833333,lowG,1.0199299072265624,9.390058911132812,-2.7246014892578123,-1.0975609756097562,0.6707317073170732,0.30487804878048785,8.4,-54.9,-32.85,0.34350780583918095,-0.7204128913581371,-0.5157887013629079,0.31139953249631813,51.949447656343644,-108.94964002094876,-78.0038697453366,105.97461969003324,-5.412045530379466,-124.93299818431922
2.1356497777777776,lowG,0.9624690673828125,9.284714038085937,-2.6767174560546874,-2.073170731707317,0.5487804878048781,0.853658536585366,9.299999999999999,-53.55,-32.699999999999996,0.3434609891846776,-0.7203806238248944,-0.5158432256430387,0.31143550260707886,51.94144405293871,-108.94282334085557,-78.01072869564962,105.9652691610595,-5.414494580083739,-124.9345281466933
2.140071784722222,lowG,0.8954314208984374,9.442731347656249,-2.6815058593749996,-1.6463414634146343,0.9146341463414634,0.6097560975609757,9.299999999999999,-53.55,-32.699999999999996,0.34337618853896856,-0.7203719364479184,-0.515922880731523,0.3114171598682601,51.929090460661236,-108.94249718448467,-78.02348222870944,105.95679972648868,-5.414548794710275,-124.94430897758475
2.1444937916666666,lowG,1.0390835205078124,9.366116894531249,-2.6527754394531247,-1.9512195121951221,1.1585365853658538,0.48780487804878053,9.299999999999999,-53.55,-32.699999999999996,0.3432673439383507,-0.7203650996088982,-0.5160038052126765,0.3114188929031291,51.912585328630044,-108.94136993098348,-78.03565367060291,105.94676617859793,-5.417713306730107,-124.95486845004159
2.148915798611111,lowG,0.948103857421875,9.351751684570312,-2.6671406494140624,-1.829268292682927,0.7926829268292683,0.30487804878048785,9.9,-54.449999999999996,-33.9,0.343166196718812,-0.7203614357858896,-0.5160935195162892,0.31139017706942346,51.898025322010554,-108.94236201839327,-78.05032896736255,105.93781180059604,-5.417666349179563,-124.96712180941259
